"CID","CRPName","Party","Office","FECCandID"
"N00027623","Smith, Adrian","R","NE03","H6NE03115"
"N00009816","Smith, Chris","R","NJ04","H8NJ04014"
"N00035282","Smith, Jason","R","MO08","H4MO08162"
"N00001811","Smith, Lamar","R","TX21","H6TX21012"
"N00029649","Speier, Jackie","D","CA14","H8CA12171"
"N00004118","Stabenow, Debbie","D","MIS2","S8MI00281"
"N00035523","Stefanik, Elise","R","NY21","H4NY21079"
"N00033932","Stewart, Chris","R","UT02","H2UT02324"
"N00029574","Stivers, Steve","R","OH15","H8OH15076"
"N00030891","Stutzman, Marlin","R","IN03","S0IN00095"
"N00035774","Sullivan, Dan","R","AKS1","S4AK00214"
"N00033508","Swalwell, Eric","D","CA15","H2CA15094"
"N00035535","Takai, Mark","D","HI01","H4HI01134"
"N00006701","Takano, Mark","D","CA41","H2CA43245"
"N00027605","Tester, Jon","D","MTS1","S6MT00162"
"N00003288","Thompson, Bennie G","D","MS02","H4MS02068"
"N00029736","Thompson, Glenn","R","PA05","H8PA05071"
"N00007419","Thompson, Mike","D","CA05","H8CA01109"
"N00006052","Thornberry, Mac","R","TX13","H4TX13014"
"N00004572","Thune, John","R","SDS1","S2SD00068"
"N00009699","Tiberi, Patrick J","R","OH12","H0OH12062"
"N00035492","Tillis, Thom","R","NCS1","S4NC00162"
"N00027509","Tipton, Scott","R","CO03","H6CO03139"
"N00030191","Titus, Dina","D","NV01","H8NV03036"
"N00030196","Tonko, Paul","D","NY20","H8NY21203"
"N00001489","Toomey, Pat","R","PAS1","S4PA00121"
"N00036107","Torres, Norma","D","CA35","H4CA35031"
"N00035607","Trott, Dave","R","MI11","H4MI11097"
"N00029026","Tsongas, Niki","D","MA03","H8MA05143"
"N00025175","Turner, Michael R","R","OH10","H2OH03067"
"N00006561","Udall, Tom","D","NMS2","S8NM00184"
"N00004133","Upton, Fred","R","MI06","H6MI04113"
"N00033367","Valadao, David","R","CA21","H2CA20094"
"N00013820","Van Hollen, Chris","D","MD08","S6MD03441"
"N00007021","Vargas, Juan","D","CA51","H2CA50026"
"N00033839","Veasey, Marc","D","TX33","H2TX33073"
"N00034349","Vela, Filemon","D","TX34","H2TX27190"
"N00001102","Velazquez, Nydia M","D","NY07","H2NY00010"
"N00003813","Visclosky, Pete","D","IN01","H4IN01012"
"N00009659","Vitter, David","R","LAS2","S4LA00057"
"N00033106","Wagner, Ann L","R","MO02","H2MO02102"
"N00026368","Walberg, Tim","R","MI07","H4MI07103"
"N00007690","Walden, Greg","R","OR02","H6OR02116"
"N00035311","Walker, Mark","R","NC06","H4NC06052"
"N00031226","Walorski, Jackie","R","IN02","H0IN02190"
"N00035391","Walters, Mimi","R","CA45","H4CA45097"
"N00027467","Walz, Timothy J","D","MN01","H6MN01174"
"N00002097","Warner, Mark","D","VAS2","S6VA00093"
"N00033492","Warren, Elizabeth","D","MAS1","S2MA00170"
"N00006690","Waters, Maxine","D","CA43","H4CA23011"
"N00033539","Weber, Randy","R","TX14","H2TX14149"
"N00026335","Webster, Daniel","R","FL10","H0FL08208"
"N00000515","Welch, Peter","D","VT01","H6VT00160"
"N00033310","Wenstrup, Brad","R","OH02","H2OH02085"
"N00035527","Westerman, Bruce","R","AR04","H4AR04048"
"N00026163","Westmoreland, Lynn A","R","GA03","H4GA08067"
"N00027533","Whitehouse, Sheldon","D","RIS1","S6RI00221"
"N00003467","Whitfield, Ed","R","KY01","H4KY01040"
"N00003280","Wicker, Roger","R","MSS2","S8MS00196"
"N00030602","Williams, Roger","R","TX25","H2TX33040"
"N00030650","Wilson, Frederica","D","FL24","H0FL17068"
"N00024809","Wilson, Joe","R","SC02","H2SC02059"
"N00029459","Wittman, Rob","R","VA01","H8VA01147"
"N00031857","Womack, Steve","R","AR03","H0AR03055"
"N00032416","Woodall, Rob","R","GA07","H0GA07133"
"N00007724","Wyden, Ron","D","ORS2","S6OR00110"
"N00028073","Yarmuth, John A","D","KY03","H6KY03124"
"N00031502","Yoder, Kevin","R","KS03","H0KS03137"
"N00033220","Yoho, Ted","R","FL03","H2FL06109"
"N00035509","Young, David","R","IA03","H4IA03115"
"N00007999","Young, Don","R","AK01","H6AK00045"
"N00030670","Young, Todd","R","IN09","S6IN00191"
"N00029404","Zeldin, Lee","R","NY01","H8NY01148"
"N00035616","Zinke, Ryan K","R","MT01","H4MT01041"
